"","Index2017",City (Main),Metropolitan Area,"Rank2016","Changein Rank","Rate of NewEntrepreneurs","OpportunityShare of NewEntrepreneurs","StartupDensity"
1,4.47,Miami,Miami-Fort Lauderdale-Pompano Beach,2,1,0.56%,81.09%,107.8
2,3.95,Austin,Austin-Round Rock-San Marcos,1,-1,0.51%,84.73%,104.5
3,3.92,Los Angeles,Los Angeles-Long Beach-Santa Ana,3,0,0.56%,80.03%,92.3
4,3.19,San Diego,San Diego-Carlsbad-San Marcos,11,7,0.49%,82.54%,95.9
5,2.78,Las Vegas,Las Vegas-Paradise,5,0,0.42%,81.93%,120.7
6,1.95,San Antonio,San Antonio-New Braunfels,14,8,0.38%,89.97%,87.2
7,1.87,New York,New York-Northern New Jersey-Long Island,7,0,0.41%,84.43%,86.5
8,1.83,Phoenix,Phoenix-Mesa-Glendale,10,2,0.38%,87.15%,92.1
9,1.66,Houston,Houston-Sugar Land-Baytown,6,-3,0.40%,81.93%,92.6
10,1.59,Denver,Denver-Aurora-Broomfield,8,-2,0.39%,82.87%,92.3
11,1.55,Dallas,Dallas-Fort Worth-Arlington,12,1,0.37%,85.18%,94.2
12,1.44,Atlanta,Atlanta-Sandy Springs-Marietta,15,3,0.43%,75.49%,89.9
13,0.95,Riverside,Riverside-San Bernardino-Ontario,18,5,0.36%,80.93%,92.4
14,0.64,San Francisco,San Francisco-Oakland-Fremont,4,-10,0.37%,77.78%,86.5
15,0.56,Kansas City,Kansas City,19,4,0.37%,77.81%,83.6
16,0.13,San Jose,San Jose-Sunnyvale-Santa Clara,9,-7,0.26%,90.17%,86.9
17,0.06,Charlotte,Charlotte-Gastonia-Rock Hill,20,3,0.37%,71.21%,87.5
18,-0.03,Cincinnati,Cincinnati-Middletown,25,7,0.30%,89.73%,61.6
18,-0.03,Tampa,Tampa-St. Petersburg-Clearwater,17,-1,0.34%,74.69%,89.0
20,-0.21,Sacramento,Sacramento-Arden-Arcade-Roseville,27,7,0.31%,80.17%,81.0
21,-0.31,Boston,Boston-Cambridge-Quincy,20,-1,0.33%,79.85%,68.2
22,-0.42,Orlando,Orlando-Kissimmee-Sanford,23,1,0.25%,80.25%,105.5
23,-0.70,Columbus,Columbus,13,-10,0.28%,84.43%,66.2
24,-0.95,Seattle,Seattle-Tacoma-Bellevue,26,2,0.25%,80.84%,85.0
25,-1.10,"Washington, D. C.",Washington-Arlington-Alexandria,24,-1,0.28%,76.51%,78.1
26,-1.24,St. Louis,St. Louis,36,10,0.23%,77.39%,96.7
27,-1.27,Portland,Portland-Vancouver-Hillsboro,32,5,0.26%,76.43%,82.8
28,-1.34,Cleveland,Cleveland-Elyria-Mentor,37,9,0.19%,95.99%,54.3
29,-1.51,Nashville,Nashville-Davidson-Murfreesboro-Franklin,16,-13,0.27%,72.43%,82.2
30,-1.75,Jacksonville,Jacksonville,28,-2,0.11%,95.90%,89.4
31,-1.80,Chicago,Chicago-Joliet-Naperville,30,-1,0.22%,80.40%,74.7
32,-1.98,Detroit,Detroit-Warren-Livonia,31,-1,0.25%,76.01%,71.1
33,-2.11,Virginia Beach,Virginia Beach-Norfolk-Newport News,29,-4,0.18%,86.54%,68.1
34,-2.16,Providence,Providence-New Bedford-Fall River,35,1,0.18%,87.32%,61.0
35,-2.46,Baltimore,Baltimore-Towson,22,-13,0.20%,81.02%,69.2
36,-2.50,Philadelphia,Philadelphia-Camden-Wilmington,34,-2,0.21%,75.89%,69.7
37,-2.63,Minneapolis,Minneapolis-St. Paul-Bloomington,38,1,0.20%,76.31%,72.5
38,-3.53,Indianapolis,Indianapolis-Carmel,33,-5,0.16%,71.70%,72.7
39,-4.42,Milwaukee,Milwaukee-Waukesha-West Allis,39,0,0.15%,67.53%,60.7
